dataset_label,alpha,persistence_baseline_test_rmse,persistence_baseline_test_mae,zero_change_baseline_test_rmse,zero_change_baseline_test_mae,val_rmse,val_mae,test_rmse,test_mae
spread_full_features,0.1,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11759952660039967,0.09107058474614566,0.138020283324528,0.11166840236683634
spread_full_features,1.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11623184477826283,0.08993554086267565,0.1394372500582308,0.11366367626992771
spread_full_features,10.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11212831822779527,0.08579256521006179,0.1433144038285953,0.11885719838241968
spread_full_features,50.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11071421047652565,0.08356718646552051,0.13122404930490594,0.10558648971245012
spread_full_features,100.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11027101973610869,0.0828127085335704,0.12460817926134544,0.09844745237564335
spread_full_features,250.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.10993713581270441,0.08210050806234842,0.11942527884843912,0.09335379969844329
spread_full_features,500.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11035531092974941,0.08187269559850648,0.1179997607858328,0.09151659952268347
spread_full_features,1000.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11185791755447456,0.08253376465522375,0.1182215284300422,0.0919284490675125
spread_core_features,0.1,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.1256798398848028,0.09448368833218274,0.13700618837379577,0.10300586037670456
spread_core_features,1.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.12353879352938428,0.0928985139447576,0.13517164069683452,0.10194654786604058
spread_core_features,10.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11778888000138098,0.08842264883980405,0.12977127308933556,0.09869096214251691
spread_core_features,50.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.1143873137885785,0.08524658964585037,0.12588758676113695,0.09611848104880547
spread_core_features,100.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11289507351051252,0.08389652385167243,0.12384416938336769,0.09463046193180727
spread_core_features,250.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11135150326143267,0.08257051823312299,0.12093092056316428,0.09273025291716724
spread_core_features,500.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11116549673481023,0.08213872935390919,0.11935819655414466,0.09180332210978123
spread_core_features,1000.0,0.22511525628601173,0.17635838150289007,0.13737211604214278,0.10618497109826584,0.11232067422626915,0.08261607680265812,0.11906554303254367,0.09200542915331564
